Method,FD001,FD002,FD003,FD004,Mean
TCN-GRU + XGBoost,0.9883,0.9674,0.9931,0.9653,0.978525
PatchTST + XGBoost,0.9915,0.9809,0.9956,0.9709,0.984725
TCN-BiGRU + XGBoost,0.9968,0.998,0.9988,0.9826,0.9940500000000001
